name                          ,info                                                                                                                         ,symbol      ,sys_dat                                ,sys_gui                                ,category         ,source                                                   ,inter_val
királyi ujj                   ,"lat. digitus, 1/16 láb"                                                                                                     ,ujj         ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,0.01953
királyi hüvelyk               ,"lat. pollex, 1/12 láb"                                                                                                      ,hüv.        ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,0.02605
királyi tenyér                ,"lat. palmus, 4 ujj"                                                                                                         ,teny.       ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,0.07815
királyi arasz                 ,"Sértetlen etalonja a Tripartitum nyomtatott kiadásából ismert (1517). Lat. spithama, 10 ujj."                               ,ar.         ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,0.1954
királyi láb                   ,"lat. pes, 4 teny."                                                                                                          ,láb         ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,0.3126
királyi rőf                   ,"lat. cubitus v. ulna, 2 láb"                                                                                                ,rőf         ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,0.6252
királyi lépés                 ,"lat. gressus, 3 láb"                                                                                                        ,lép.        ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,0.9378
királyi kettős lépés          ,"lat. passus, 6 láb"                                                                                                         ,ket. lép.   ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, and Bogdán 1990, 34."                  ,1.875
királyi öl                    ,"Etalonja 1702-ből ismert. Mérete Bogdán feltételezése szerint Szent István kora óta változatlan. Lat. orgia, 5 rőf, 10 láb" ,öl          ,Hungarian Royal                        ,magyar királyi                         ,length           ,"Bogdán 1978, 35, 96, and Bogdán 1990, 34."              ,3.126
középkori budai rőf           ,"A budai rőf, amelyet az 1405(II):VI. tc. országos szabvánnyá tett. A rendszer többi tagja ismeretlen."                      ,öl (k.k.)   ,Buda (length)                          ,budai                                  ,length           ,"Bogdán 1990, 45."                                       ,0.5831
budai láb                     ,Budai láb a hódoltságot követő időszakból. A pozsonyival megegyező. 1/6 öl.                                                  ,láb         ,Buda (length)                          ,budai                                  ,length           ,"Bogdán 1990, 45."                                       ,0.3168                              
budai rőf                     ,Budai rőf a hódoltságot követő időszakból. A pozsonyival megegyező. 2 4/9 láb.                                               ,rőf         ,Buda (length)                          ,budai                                  ,length           ,"Bogdán 1990, 45."                                       ,0.783
budai öl                      ,Budai öl a hódoltságot követő időszakból. A pozsonyival megegyező. 2 3/7 rőf.                                                ,öl          ,Buda (length)                          ,budai                                  ,length           ,"Bogdán 1990, 45."                                       ,1.901
pozsonyi hüvelyk              ,10 1/5 láb                                                                                                                   ,hüv.        ,Pressburg                              ,pozsonyi                               ,length           ,"Bogdán 1978, 37, and Bogdán 1990, 35."                  ,0.0318
pozsonyi tenyér               ,3 hüv.                                                                                                                       ,teny.       ,Pressburg                              ,pozsonyi                               ,length           ,"Bogdán 1978, 37, and Bogdán 1990, 35."                  ,0.093
pozsonyi arasz                ,3 teny.                                                                                                                      ,ar.         ,Pressburg                              ,pozsonyi                               ,length           ,"Bogdán 1978, 37, and Bogdán 1990, 35."                  ,0.266
pozsonyi láb                  ,"10 1/5 hüv., 1 1/5 ar."                                                                                                     ,láb         ,Pressburg                              ,pozsonyi                               ,length           ,"Bogdán 1978, 37, and Bogdán 1990, 35."                  ,0.3168
pozsonyi rőf                  ,3 ar.                                                                                                                        ,rőf         ,Pressburg                              ,pozsonyi                               ,length           ,"Bogdán 1978, 37, and Bogdán 1990, 35."                  ,0.783
pozsonyi öl                   ,A bécsivel majdnem megegyező: 6 ar.                                                                                          ,öl          ,Pressburg                              ,pozsonyi                               ,length           ,"Bogdán 1978, 37, and Bogdán 1990, 35."                  ,1.901
erdélyi vonal                 ,1/144 láb                                                                                                                    ,von.        ,Transylvanian                          ,erdélyi                                ,length           ,"Bogdán 1990, 34."                                       ,0.00215
erdélyi hüvelyk               ,12 vonal                                                                                                                     ,hüv.        ,Transylvanian                          ,erdélyi                                ,length           ,"Bogdán 1990, 34."                                       ,0.02591
erdélyi láb                   ,12 hüv.                                                                                                                      ,láb         ,Transylvanian                          ,erdélyi                                ,length           ,"Bogdán 1990, 34."                                       ,0.311
erdélyi rőf                   ,2 láb                                                                                                                        ,rőf         ,Transylvanian                          ,erdélyi                                ,length           ,"Bogdán 1990, 34."                                       ,0.622
erdélyi öl                    ,3 rőf                                                                                                                        ,öl          ,Transylvanian                          ,erdélyi                                ,length           ,"Bogdán 1990, 34."                                       ,1.866
bányahüvelyk𝅳                  ,selmeci bányahüvelyk: 1/72 öl                                                                                                ,hüv.        ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,length           ,"Bogdán 1978, 38."                                       ,0.028
bányaláb𝅳                      ,selmeci bányaláb: 12 hüv.                                                                                                    ,láb         ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,length           ,"Bogdán 1978, 38."                                       ,0.3369
bányarőf𝅳                      ,selmeci bányarőf: 2 láb                                                                                                      ,rőf         ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,length           ,"Bogdán 1978, 38."                                       ,0.6738
bányaöl𝅳                       ,selmeci bányaöl: 3 rőf                                                                                                       ,öl          ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,length           ,"Bogdán 1978, 38."                                       ,2.0215
bányakötél𝅳                    ,selmeci bányakötél: 7 öl                                                                                                     ,köt.        ,Selmec/Hungarian mining (Medieval)     ,selmeci/magyar bányam. (középk.)       ,length           ,"Bogdán 1978, 38."                                       ,14.1511
bányavonal𝅴                    ,selmeci bányavonal: 1/10 hüv.                                                                                                ,von.        ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,length           ,"Bogdán 1990, 41."                                       ,0.00279
bányahüvelyk𝅴                  ,selmeci bányahüvelyk: 1/72 öl                                                                                                ,hüv.        ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,length           ,"Bogdán 1990, 41."                                       ,0.0279
bányaláb𝅴                      ,selmeci bányaláb: 12 hüv.                                                                                                    ,láb         ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,length           ,"Bogdán 1990, 41."                                       ,0.3368
bányaöl𝅴                       ,selmeci bányaöl: 6 láb                                                                                                       ,öl          ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,length           ,"Bogdán 1990, 41."                                       ,2.021
bányakötél𝅴                    ,selmeci bányakötél: 7 öl                                                                                                     ,köt.        ,Selmec/Hungarian mining (Early Modern) ,selmeci/magyar bányam. (kora újk.)     ,length           ,"Bogdán 1990, 41."                                       ,14.157
bányavonal𝅵                    ,tízes rendszerű bányavonal: 1/100 láb                                                                                        ,von.        ,Selmec/Hungarian mining (mid18th c.-)  ,selmeci/magyar bányam. (18. sz. köz.–) ,length           ,"Bogdán 1990, 42."                                       ,0.00202
bányahüvelyk𝅵                  ,tízes rendszerű bányahüvelyk: 10 von.                                                                                        ,hüv.        ,Selmec/Hungarian mining (mid18th c.-)  ,selmeci/magyar bányam. (18. sz. köz.–) ,length           ,"Bogdán 1990, 42."                                       ,0.02021
bányaláb𝅵                      ,tízes rendszerű bányaláb: 10 hüv.                                                                                            ,láb         ,Selmec/Hungarian mining (mid18th c.-)  ,selmeci/magyar bányam. (18. sz. köz.–) ,length           ,"Bogdán 1990, 42."                                       ,0.2021
bányaöl𝅵                       ,tízes rendszerű bányaöl: 10 láb                                                                                              ,öl          ,Selmec/Hungarian mining (mid18th c.-)  ,selmeci/magyar bányam. (18. sz. köz.–) ,length           ,"Bogdán 1990, 42."                                       ,2.021
köbmilliméter                 ,SI mértékegység: 10⁻⁹m³. Azonos a mikroliterrel.                                                                             ,mm³         ,SI                                     ,SI                                     ,volume (general) ,SI 2009.                                                 ,1.0e-06
köbcentiméter                 ,SI mértékegység: 10⁻⁶m³. Azonos a milliliterrel.                                                                             ,cm³         ,SI                                     ,SI                                     ,volume (general) ,SI 2009.                                                 ,0.001
köbdeciméter                  ,SI mértékegység: 10⁻³m³. Azonos a literrel.                                                                                  ,dm³         ,SI                                     ,SI                                     ,volume (general) ,SI 2009.                                                 ,1.0
köbméter                      ,A térfogat SI-alapegysége: 10³l                                                                                              ,m³          ,SI                                     ,SI                                     ,volume (general) ,SI 2009.                                                 ,1000.0
mikroliter                    ,"Engedélyezett, nem SI-mértékegység: 10⁻⁶l"                                                                                  ,µl          ,litre based metric                     ,liter alapú metrikus                   ,volume (general) ,SI 2009.                                                 ,1.0e-06
milliliter                    ,"Engedélyezett, nem SI-mértékegység: 10⁻³l"                                                                                  ,ml          ,litre based metric                     ,liter alapú metrikus                   ,volume (general) ,SI 2009.                                                 ,0.001
centiliter                    ,"Engedélyezett, nem SI-mértékegység: 10⁻²l"                                                                                  ,cl          ,litre based metric                     ,liter alapú metrikus                   ,volume (general) ,SI 2009.                                                 ,0.01
deciliter                     ,"Engedélyezett, nem SI-mértékegység: 10⁻¹l"                                                                                  ,dl          ,litre based metric                     ,liter alapú metrikus                   ,volume (general) ,SI 2009.                                                 ,0.1
liter                         ,"Engedélyezett, nem SI-mértékegység: 10⁻³m³"                                                                                 ,l           ,litre based metric                     ,liter alapú metrikus                   ,volume (general) ,SI 2009.                                                 ,1.0
cubic inch                    ,ang. köbhüvelyk                                                                                                              ,cu in       ,AngAm cubic                            ,angolszász köbmérték                   ,volume (general) ,1995 No. 1804.                                           ,0.016387064
cubic foot                    ,ang. köbláb                                                                                                                  ,cu ft       ,AngAm cubic                            ,angolszász köbmérték                   ,volume (general) ,1995 No. 1804.                                           ,28.316846592
cubic yard                    ,ang. köbyard                                                                                                                 ,cu yd       ,AngAm cubic                            ,angolszász köbmérték                   ,volume (general) ,1995 No. 1804.                                           ,764.554857984
minim (UK)                    ,"brit minim, a legkisebb űrmérték, 1/480 fl oz"                                                                              ,min         ,Imperial                               ,brit (Imperial)                        ,volume (general) ,"Cardarelli 2003, 35."                                   ,5.919390625e-05
fluid dram (UK)               ,brit folyadék dram: 60 min                                                                                                   ,fl dr       ,Imperial                               ,brit (Imperial)                        ,volume (general) ,"Cardarelli 2003, 35."                                   ,0.003551634375
fluid ounce (UK)              ,brit folyadék uncia: 8 fl dr                                                                                                 ,fl oz       ,Imperial                               ,brit (Imperial)                        ,volume (general) ,1995 No. 1804.                                           ,0.0284130625
gill (UK)                     ,brit gill: 5 fl oz                                                                                                           ,gi          ,Imperial                               ,brit (Imperial)                        ,volume (general) ,1995 No. 1804.                                           ,0.1420653125
pint (UK)                     ,brit pint: 4 gi                                                                                                              ,pt          ,Imperial                               ,brit (Imperial)                        ,volume (general) ,1995 No. 1804.                                           ,0.56826125
quart (UK)                    ,"brit quart, jel. ""negyed"" (gallon): 2 pt"                                                                                 ,qt          ,Imperial                               ,brit (Imperial)                        ,volume (general) ,1995 No. 1804.                                           ,1.1365225
gallon (UK)                   ,brit gallon: 4 qt                                                                                                            ,gal         ,Imperial                               ,brit (Imperial)                        ,volume (general) ,1995 No. 1804.                                           ,4.54609
peck (UK)                     ,brit peck (régi szárazmérték): 2 gl                                                                                          ,pk          ,Imperial                               ,brit (Imperial)                        ,volume (general) ,"Cardarelli 2003, 36."                                   ,9.092184
bushel (UK)                   ,brit bushel (régi szárazmérték): 4 pk                                                                                        ,bu          ,Imperial                               ,brit (Imperial)                        ,volume (general) ,1995 No. 1804.                                           ,36.36872
dry pint (US)                 ,am. száraz pint: 4 gi                                                                                                        ,pt (dry)    ,US customary                           ,amerikai (US customary)                ,volume (dry)     ,"Cardarelli 2003, 44."                                   ,0.550610471358
dry quart (US)                ,"am. száraz quart, jel. ""negyed"" (gallon), 2 pt"                                                                           ,qt (dry)    ,US customary                           ,amerikai (US customary)                ,volume (dry)     ,"Cardarelli 2003, 44."                                   ,1.10122094272
dry gallon (US)               ,am. száraz gallon: 4 qt                                                                                                      ,gal (dry)   ,US customary                           ,amerikai (US customary)                ,volume (dry)     ,"Cardarelli 2003, 44."                                   ,4.40488377086
peck (US)                     ,am. peck: 2 gl                                                                                                               ,pk          ,US customary                           ,amerikai (US customary)                ,volume (dry)     ,"Cardarelli 2003, 44."                                   ,8.80976754172
bushel (US)                   ,am. bushel: 4 pk                                                                                                             ,bu          ,US customary                           ,amerikai (US customary)                ,volume (dry)     ,"Cardarelli 2003, 44."                                   ,35.2390701669
κοτύλη (kotylé)𝅳               ,gör. csésze: 6 kyth.                                                                                                         ,kot.        ,Attic                                  ,attikai                                ,volume (dry)     ,"Hultsch 1882, 703, tab. X.C."                           ,0.2736
ξέστης (xestés)𝅳               ,"róm. sextariusból, azzal megegyező, 2 kot."                                                                                 ,xes.        ,Attic                                  ,attikai                                ,volume (dry)     ,"Hultsch 1882, 703, tab. X.C."                           ,0.547
χοῖνιξ (choinix)𝅳              ,Egy napi gabona: 2 xes.                                                                                                      ,choi.       ,Attic                                  ,attikai                                ,volume (dry)     ,"Hultsch 1882, 703, tab. X.C."                           ,1.094
ἡμίεκτον (hémiekton)𝅳          ,"jel. ""félhatod"" (medimnos), 4 choi."                                                                                      ,hhek.       ,Attic                                  ,attikai                                ,volume (dry)     ,"Hultsch 1882, 703, tab. X.C."                           ,4.377
ἑκτεύς (hekteus)𝅳              ,"jel. ""hatod"" (medimnos), 2 hémiekton"                                                                                     ,hek.        ,Attic                                  ,attikai                                ,volume (dry)     ,"Hultsch 1882, 703, tab. X.C."                           ,8.754
μέδιμνος (medimnos)𝅳           ,gör. gabonamérő: 6 hek.                                                                                                      ,med.        ,Attic                                  ,attikai                                ,volume (dry)     ,"Hultsch 1882, 703, tab. X.C."                           ,52.53
cyathus𝅳                       ,"att. kyathosból, azzal megegyező"                                                                                           ,cyth.       ,Roman                                  ,római                                  ,volume (dry)     ,"Hultsch 1882, 704, tab. XI.C."                          ,0.0456
acetabulum𝅳                    ,"att. oxybaphonból, azzal megegyező, 1 1/2 cyth."                                                                            ,actb.       ,Roman                                  ,római                                  ,volume (dry)     ,"Hultsch 1882, 704, tab. XI.C."                          ,0.0684
quartarius𝅳                    ,"jel. ""negyed"" (sextarius), 3 cyth."                                                                                       ,quart.      ,Roman                                  ,római                                  ,volume (dry)     ,"Hultsch 1882, 704, tab. XI.C."                          ,0.1368
hemina𝅳                        ,"att. kothyléból, azzal megegyező, 6 cyth."                                                                                  ,hem.        ,Roman                                  ,római                                  ,volume (dry)     ,"Hultsch 1882, 704, tab. XI.C."                          ,0.2736
sextarius𝅳                     ,"jel. ""hatod"" (congius), 2 hem."                                                                                           ,sext.       ,Roman                                  ,római                                  ,volume (dry)     ,"Hultsch 1882, 704, tab. XI.C."                          ,0.547
semimodius𝅳                    ,"jel. ""fél modius"", 8 sext."                                                                                               ,smod.       ,Roman                                  ,római                                  ,volume (dry)     ,"Hultsch 1882, 704, tab. XI.C."                          ,4.377
modius𝅳                        ,róm. gabonamérő: 16 sext.                                                                                                    ,mod.        ,Roman                                  ,római                                  ,volume (dry)     ,"Hultsch 1882, 704, tab. XI.C."                          ,8.754
Wiener Becher𝅳                 ,bécsi pohár: 1/128 Metz.                                                                                                     ,Bech.       ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.3295
Wiener Futtermassel𝅳           ,"jel. ""takarmánymesszely"", 1/64 Metz."                                                                                     ,FM          ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.659
Wiener Kleines Massel𝅳         ,"jel. ""kis messzely"", 1/32 Metz."                                                                                          ,KM          ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1.3181
Wiener Müllermassel𝅳           ,"jel. ""molnármesszely"", 1/16 Metz."                                                                                        ,MM          ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,2.6362
Wiener Achtel𝅳                 ,bécsi nyolcadmérős (1/8 Metz.)                                                                                               ,Acht.       ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,5.2725
Wiener Viertel𝅳                ,bécsi negyedmérős (1/4 Metz.)                                                                                                ,Vier.       ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,10.545
Wiener Halbe𝅴 (Metzen)𝅳         ,bécsi félmérős (1/2 Metz.)                                                                                                   ,Hal.        ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,21.09
Wiener Metzen𝅳                 ,"Bécsi mérő, a rendszer alapmértéke."                                                                                        ,Metz.       ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,42.18
Wiener Muth𝅳                   ,"bécsi mut, nagyker. egység, 30 Metz."                                                                                       ,Mut         ,Viennese (1593-1638)                   ,bécsi (1593–1638)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1265.4
Wiener Becher𝅴                 ,bécsi pohár: 1/128 Metz.                                                                                                     ,Bech.       ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.3592
Wiener Futtermassel𝅴           ,"jel. ""takarmánymesszely"", 1/64 Metz."                                                                                     ,FM          ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.719
Wiener Kleines Massel𝅴         ,"jel. ""kis messzely"", 1/32 Metz."                                                                                          ,KM          ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1.4381
Wiener Müllermassel𝅴           ,"jel. ""molnármesszely"", 1/16 Metz."                                                                                        ,MM          ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,2.8762
Wiener Achtel𝅴                 ,bécsi nyolcadmérős (1/8 Metz.)                                                                                               ,Acht.       ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,5.7525
Wiener Viertel𝅴                ,bécsi negyedmérős (1/4 Metz.)                                                                                                ,Vier.       ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,11.505
Wiener Halbe𝅴 (Metzen)         ,bécsi félmérős (1/2 Metz.)                                                                                                   ,Hal.        ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,23.01
Wiener Metzen𝅴                 ,"Bécsi mérő, a rendszer alapmértéke."                                                                                        ,Metz.       ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,46.02
Wiener Muth𝅴                   ,"bécsi mut, nagyker. egység, 30 Metz"                                                                                        ,Mut         ,Viennese (1639-1687)                   ,bécsi (1639–1687)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1380.6
Wiener Becher𝅵                 ,bécsi pohár: 1/128 Metz.                                                                                                     ,Bech.       ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.3577
Wiener Futtermassel𝅵           ,"jel. ""takarmánymesszely"", 1/64 Metz."                                                                                     ,FM          ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.7154
Wiener Kleines Massel𝅵         ,"jel. ""kis messzely"", 1/32 Metz."                                                                                          ,KM          ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1.4309
Wiener Müllermassel𝅵           ,"jel. ""molnármesszely"", 1/16 Metz."                                                                                        ,MM          ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,2.8618
Wiener Achtel𝅵                 ,bécsi nyolcadmérős (1/8 Metz.)                                                                                               ,Acht.       ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,5.7237
Wiener Viertel𝅵                ,bécsi negyedmérős (1/4 Metz.)                                                                                                ,Vier.       ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,11.447
Wiener Halbe (Metzen)𝅵         ,bécsi félmérős (1/2 Metz.)                                                                                                   ,Hal.        ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,22.895
Wiener Metzen𝅵                 ,"Bécsi mérő, a rendszer alapmértéke."                                                                                        ,Metz.       ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,45.79
Wiener Muth𝅵                   ,"bécsi mut, nagyker. egység, 30 Metz"                                                                                        ,Mut         ,Viennese (1688-1755)                   ,bécsi (1688–1755)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1373.7
Wiener Becher𝅶                 ,bécsi pohár: 1/128 Metz.                                                                                                     ,Bech.       ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.4803
Wiener Futtermassel𝅶           ,"jel. ""takarmánymesszely"", 1/64 Metz."                                                                                     ,FM          ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,0.9607
Wiener Kleines Massel𝅶         ,"jel. ""kis messzely"", 1/32 Metz."                                                                                          ,KM          ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1.9214
Wiener Müllermassel𝅶           ,"jel. ""molnármesszely"", 1/16 Metz."                                                                                        ,MM          ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,3.8429
Wiener Achtel𝅶                 ,bécsi nyolcadmérős (1/8 Metz.)                                                                                               ,Acht.       ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,7.6858
Wiener Viertel𝅶                ,bécsi negyedmérős (1/4 Metz.)                                                                                                ,Vier.       ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,15.3714
Wiener Halbe (Metzen)𝅶         ,bécsi félmérős (1/2 Metz.)                                                                                                   ,Hal.        ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,30.7434
Wiener Metzen𝅶                 ,"Bécsi mérő, a rendszer alapmértéke."                                                                                        ,Metz.       ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,61.4768
Wiener Muth𝅶                   ,"bécsi mut, nagyker. egység, 30 Metz."                                                                                       ,Mut         ,Viennese (1756-1871)                   ,bécsi (1756–1871)                      ,volume (dry)     ,"Bogdán 1991, 40–42."                                    ,1844.6
budai száraz icce𝅳             ,1 1/4 híg icce                                                                                                               ,icce        ,Buda (-17th c. start) (dry vol)        ,budai (–17. sz. eleje)                 ,volume (dry)     ,"Bogdán 1991, 42."                                       ,1.0491
budai véka𝅳                    ,16 híg icce                                                                                                                  ,véka        ,Buda (-17th c. start) (dry vol)        ,budai (–17. sz. eleje)                 ,volume (dry)     ,"Bogdán 1991, 42."                                       ,13.43
budai mérő𝅳                    ,4 véka                                                                                                                       ,mérő        ,Buda (-17th c. start) (dry vol)        ,budai (–17. sz. eleje)                 ,volume (dry)     ,"Bogdán 1991, 42."                                       ,53.72
budai száraz icce𝅴             ,1 1/4 híg icce                                                                                                               ,icce        ,Buda (17th c.-c.1730) (dry vol)        ,budai (17. sz. eleje–1730k.)           ,volume (dry)     ,"Bogdán 1991, 42."                                       ,1.1446
budai véka𝅴                    ,21 híg icce                                                                                                                  ,véka        ,Buda (17th c.-c.1730) (dry vol)        ,budai (17. sz. eleje–1730k.)           ,volume (dry)     ,"Bogdán 1991, 42."                                       ,19.23
budai mérő𝅴                    ,4 véka                                                                                                                       ,mérő        ,Buda (17th c.-c.1730) (dry vol)        ,budai (17. sz. eleje–1730k.)           ,volume (dry)     ,"Bogdán 1991, 42."                                       ,76.92
budai száraz icce𝅵             ,1 1/4 híg icce                                                                                                               ,icce        ,Buda (c.1730-18th c. end) (dry vol)    ,budai (1730k.–18. sz. vége)            ,volume (dry)     ,"Bogdán 1991, 43."                                       ,1.1446
budai véka𝅵                    ,"34 híg icce, 27 száraz icce"                                                                                                ,véka        ,Buda (c.1730-18th c. end) (dry vol)    ,budai (1730k.–18. sz. vége)            ,volume (dry)     ,"Bogdán 1991, 43."                                       ,31.31
budai mérő𝅵                    ,3 véka                                                                                                                       ,mérő        ,Buda (c.1730-18th c. end) (dry vol)    ,budai (1730k.–18. sz. vége)            ,volume (dry)     ,"Bogdán 1991, 43."                                       ,93.40
erdélyi (száraz) kupa𝅳         ,1/64 köb.                                                                                                                    ,kupa        ,Transylvanian (-1823) (dry vol)        ,erdélyi (–1823)                        ,volume (dry)     ,"Bogdán 1991, 43."                                       ,1.3623
erdélyi véka𝅳                  ,16 kupa                                                                                                                      ,véka        ,Transylvanian (-1823) (dry vol)        ,erdélyi (–1823)                        ,volume (dry)     ,"Bogdán 1991, 43."                                       ,21.80
erdélyi köböl𝅳                 ,4 véka                                                                                                                       ,köb.        ,Transylvanian (-1823) (dry vol)        ,erdélyi (–1823)                        ,volume (dry)     ,"Bogdán 1991, 43."                                       ,87.20
erdélyi (száraz) kupa𝅴         ,1/64 köb. A bécsi pint adoptálása.                                                                                           ,kupa        ,Transylvanian (1823-1874) (dry vol)    ,erdélyi (1823–1874)                    ,volume (dry)     ,"Bogdán 1991, 44."                                       ,1.4147
erdélyi véka𝅴                  ,21 kupa                                                                                                                      ,véka        ,Transylvanian (1823-1874) (dry vol)    ,erdélyi (1823–1874)                    ,volume (dry)     ,"Bogdán 1991, 44."                                       ,29.70
erdélyi újmérő𝅴                ,2 véka                                                                                                                       ,újm.        ,Transylvanian (1823-1874) (dry vol)    ,erdélyi (1823–1874)                    ,volume (dry)     ,"Bogdán 1991, 44."                                       ,59.42
erdélyi (száraz) köböl𝅴        ,közel 3 véka                                                                                                                 ,köb.        ,Transylvanian (1823-1874) (dry vol)    ,erdélyi (1823–1874)                    ,volume (dry)     ,"Bogdán 1991, 44."                                       ,90.54
minim (US)                    ,"am. minim, legkisebb űrmérték, 1/480 fl oz"                                                                                 ,min         ,US customary                           ,amerikai (US customary)                ,volume (liquid)  ,"Cardarelli 2003, 43."                                   ,0.000161151992
fluid dram (US)               ,am. folyadék dram: 60 min                                                                                                    ,fl dr       ,US customary                           ,amerikai (US customary)                ,volume (liquid)  ,"Cardarelli 2003, 43."                                   ,0.003696691195
